States,Date,Homicides Rate
Arizona,3/1/2016,0.38
Arizona,4/1/2016,0.36
Arizona,5/1/2016,0.35
Arizona,6/1/2016,0.48
Arizona,7/1/2016,0.52
Arizona,8/1/2016,0.45
Arizona,9/1/2016,0.38
Arizona,10/1/2016,0.49
Arizona,11/1/2016,0.36
Arizona,12/1/2016,0.35
Arizona,1/1/2017,0.47
Arizona,2/1/2017,0.4
Arizona,3/1/2017,0.4
Arizona,4/1/2017,0.48
Arizona,5/1/2017,0.6
Arizona,6/1/2017,0.47
Arizona,7/1/2017,0.47
Arizona,8/1/2017,0.4
Arizona,9/1/2017,0.38
Arizona,10/1/2017,0.63
Arizona,11/1/2017,0.5
Arizona,12/1/2017,0.66
Arizona,1/1/2018,0.59
Arizona,2/1/2018,0.43
Arizona,3/1/2018,0.39
Arizona,4/1/2018,0.4
Arizona,5/1/2018,0.43
Arizona,6/1/2018,0.52
Arizona,7/1/2018,0.46
Arizona,8/1/2018,0.31
Arizona,9/1/2018,0.26
Arizona,10/1/2018,0.32
Arizona,11/1/2018,0.45
Arizona,12/1/2018,0.42
Arizona,1/1/2019,0.3
Arizona,2/1/2019,0.45
Arizona,3/1/2019,0.27
Arizona,4/1/2019,0.51
Arizona,5/1/2019,0.44
Arizona,6/1/2019,0.47
Arizona,7/1/2019,0.36
Arizona,8/1/2019,0.4
Arizona,9/1/2019,0.29
Arizona,10/1/2019,0.34
Arizona,11/1/2019,0.38
Arizona,12/1/2019,0.55
Arizona,1/1/2020,0.54
Arizona,2/1/2020,0.39
Arizona,3/1/2020,0.44
Arizona,4/1/2020,0.49
Arizona,5/1/2020,0.61
Arizona,6/1/2020,0.5
Arizona,7/1/2020,0.44
Arizona,8/1/2020,0.55
Arizona,9/1/2020,0.53
Arizona,10/1/2020,0.65
Arizona,11/1/2020,0.39
Arizona,12/1/2020,0.42
Arizona,1/1/2021,0.23
Arizona,2/1/2021,0.12
Arizona,3/1/2021,0.23
Arizona,4/1/2021,0.26
Arizona,5/1/2021,0.29
Arizona,6/1/2021,0.27
Arizona,7/1/2021,0.21
Arizona,8/1/2021,0.27
Arizona,9/1/2021,0.29
Arizona,10/1/2021,0.18
Arizona,11/1/2021,0.22
Arizona,12/1/2021,0.22
Arizona,1/1/2022,0.42
Arizona,2/1/2022,0.6
Arizona,3/1/2022,0.56
Arizona,4/1/2022,0.64
Arizona,5/1/2022,0.48
Arizona,6/1/2022,0.49
Arizona,7/1/2022,0.56
Arizona,8/1/2022,0.42
Arizona,9/1/2022,0.52
Arizona,10/1/2022,0.48
Arizona,11/1/2022,0.68
Arizona,12/1/2022,0.5
Arizona,1/1/2023,0.57
Arizona,2/1/2023,0.5
Arizona,3/1/2023,0.69
Arizona,4/1/2023,0.5
Arizona,5/1/2023,0.69
Arizona,6/1/2023,0.52
Arizona,7/1/2023,0.42
Arizona,8/1/2023,0.35
Arizona,9/1/2023,0.39
Arizona,10/1/2023,0.46
Arizona,11/1/2023,0.4
Arizona,12/1/2023,0.4
California,1/1/2014,0.31
California,2/1/2014,0.31
California,3/1/2014,0.35
California,4/1/2014,0.4
California,5/1/2014,0.45
California,6/1/2014,0.32
California,7/1/2014,0.39
California,8/1/2014,0.34
California,9/1/2014,0.38
California,10/1/2014,0.38
California,11/1/2014,0.37
California,12/1/2014,0.39
California,1/1/2015,0.36
California,2/1/2015,0.29
California,3/1/2015,0.36
California,4/1/2015,0.35
California,5/1/2015,0.38
California,6/1/2015,0.46
California,7/1/2015,0.43
California,8/1/2015,0.42
California,9/1/2015,0.44
California,10/1/2015,0.43
California,11/1/2015,0.39
California,12/1/2015,0.45
California,1/1/2016,0.39
California,2/1/2016,0.32
California,3/1/2016,0.34
California,4/1/2016,0.41
California,5/1/2016,0.4
California,6/1/2016,0.47
California,7/1/2016,0.43
California,8/1/2016,0.48
California,9/1/2016,0.41
California,10/1/2016,0.45
California,11/1/2016,0.44
California,12/1/2016,0.38
California,1/1/2017,0.38
California,2/1/2017,0.38
California,3/1/2017,0.38
California,4/1/2017,0.37
California,5/1/2017,0.4
California,6/1/2017,0.41
California,7/1/2017,0.42
California,8/1/2017,0.39
California,9/1/2017,0.37
California,10/1/2017,0.41
California,11/1/2017,0.31
California,12/1/2017,0.4
California,1/1/2018,0.42
California,2/1/2018,0.31
California,3/1/2018,0.29
California,4/1/2018,0.37
California,5/1/2018,0.34
California,6/1/2018,0.42
California,7/1/2018,0.45
California,8/1/2018,0.38
California,9/1/2018,0.32
California,10/1/2018,0.36
California,11/1/2018,0.36
California,12/1/2018,0.38
California,1/1/2019,0.38
California,2/1/2019,0.31
California,3/1/2019,0.35
California,4/1/2019,0.29
California,5/1/2019,0.37
California,6/1/2019,0.4
California,7/1/2019,0.37
California,8/1/2019,0.38
California,9/1/2019,0.36
California,10/1/2019,0.43
California,11/1/2019,0.28
California,12/1/2019,0.32
California,1/1/2020,0.38
California,2/1/2020,0.31
California,3/1/2020,0.37
California,4/1/2020,0.38
California,5/1/2020,0.43
California,6/1/2020,0.45
California,7/1/2020,0.51
California,8/1/2020,0.51
California,9/1/2020,0.57
California,10/1/2020,0.6
California,11/1/2020,0.51
California,12/1/2020,0.58
California,1/1/2021,0.06
California,2/1/2021,0.07
California,3/1/2021,0.06
California,4/1/2021,0.09
California,5/1/2021,0.07
California,6/1/2021,0.09
California,7/1/2021,0.13
California,8/1/2021,0.08
California,9/1/2021,0.08
California,10/1/2021,0.09
California,11/1/2021,0.09
California,12/1/2021,0.1
California,1/1/2022,0.47
California,2/1/2022,0.46
California,3/1/2022,0.45
California,4/1/2022,0.49
California,5/1/2022,0.44
California,6/1/2022,0.47
California,7/1/2022,0.57
California,8/1/2022,0.56
California,9/1/2022,0.52
California,10/1/2022,0.47
California,11/1/2022,0.36
California,12/1/2022,0.41
California,1/1/2023,0.49
California,2/1/2023,0.31
California,3/1/2023,0.4
California,4/1/2023,0.42
California,5/1/2023,0.32
California,6/1/2023,0.45
California,7/1/2023,0.47
California,8/1/2023,0.47
California,9/1/2023,0.35
California,10/1/2023,0.44
California,11/1/2023,0.36
California,12/1/2023,0.36
Colorado,1/1/2014,0.39
Colorado,2/1/2014,0.28
Colorado,3/1/2014,0.3
Colorado,4/1/2014,0.13
Colorado,5/1/2014,0.26
Colorado,6/1/2014,0.19
Colorado,7/1/2014,0.26
Colorado,8/1/2014,0.26
Colorado,9/1/2014,0.09
Colorado,10/1/2014,0.28
Colorado,11/1/2014,0.19
Colorado,12/1/2014,0.13
Colorado,1/1/2015,0.18
Colorado,2/1/2015,0.22
Colorado,3/1/2015,0.26
Colorado,4/1/2015,0.18
Colorado,5/1/2015,0.16
Colorado,6/1/2015,0.22
Colorado,7/1/2015,0.4
Colorado,8/1/2015,0.2
Colorado,9/1/2015,0.35
Colorado,10/1/2015,0.29
Colorado,11/1/2015,0.35
Colorado,12/1/2015,0.35
Colorado,1/1/2016,0.13
Colorado,2/1/2016,0.16
Colorado,3/1/2016,0.16
Colorado,4/1/2016,0.31
Colorado,5/1/2016,0.34
Colorado,6/1/2016,0.23
Colorado,7/1/2016,0.32
Colorado,8/1/2016,0.25
Colorado,9/1/2016,0.34
Colorado,10/1/2016,0.43
Colorado,11/1/2016,0.47
Colorado,12/1/2016,0.16
Colorado,1/1/2017,0.29
Colorado,2/1/2017,0.23
Colorado,3/1/2017,0.25
Colorado,4/1/2017,0.45
Colorado,5/1/2017,0.45
Colorado,6/1/2017,0.29
Colorado,7/1/2017,0.43
Colorado,8/1/2017,0.34
Colorado,9/1/2017,0.25
Colorado,10/1/2017,0.37
Colorado,11/1/2017,0.29
Colorado,12/1/2017,0.34
Colorado,1/1/2018,0.39
Colorado,2/1/2018,0.18
Colorado,3/1/2018,0.28
Colorado,4/1/2018,0.39
Colorado,5/1/2018,0.28
Colorado,6/1/2018,0.28
Colorado,7/1/2018,0.35
Colorado,8/1/2018,0.33
Colorado,9/1/2018,0.37
Colorado,10/1/2018,0.37
Colorado,11/1/2018,0.32
Colorado,12/1/2018,0.28
Colorado,1/1/2019,0.21
Colorado,2/1/2019,0.23
Colorado,3/1/2019,0.24
Colorado,4/1/2019,0.33
Colorado,5/1/2019,0.35
Colorado,6/1/2019,0.4
Colorado,7/1/2019,0.4
Colorado,8/1/2019,0.33
Colorado,9/1/2019,0.36
Colorado,10/1/2019,0.31
Colorado,11/1/2019,0.43
Colorado,12/1/2019,0.35
Colorado,1/1/2020,0.4
Colorado,2/1/2020,0.34
Colorado,3/1/2020,0.28
Colorado,4/1/2020,0.31
Colorado,5/1/2020,0.46
Colorado,6/1/2020,0.59
Colorado,7/1/2020,0.52
Colorado,8/1/2020,0.62
Colorado,9/1/2020,0.55
Colorado,10/1/2020,0.33
Colorado,11/1/2020,0.43
Colorado,12/1/2020,0.31
Colorado,1/1/2021,0.52
Colorado,2/1/2021,0.48
Colorado,3/1/2021,0.5
Colorado,4/1/2021,0.34
Colorado,5/1/2021,0.52
Colorado,6/1/2021,0.52
Colorado,7/1/2021,0.36
Colorado,8/1/2021,0.57
Colorado,9/1/2021,0.52
Colorado,10/1/2021,0.6
Colorado,11/1/2021,0.65
Colorado,12/1/2021,0.55
Colorado,1/1/2022,0.53
Colorado,2/1/2022,0.33
Colorado,3/1/2022,0.45
Colorado,4/1/2022,0.55
Colorado,5/1/2022,0.51
Colorado,6/1/2022,0.5
Colorado,7/1/2022,0.7
Colorado,8/1/2022,0.51
Colorado,9/1/2022,0.34
Colorado,10/1/2022,0.63
Colorado,11/1/2022,0.5
Colorado,12/1/2022,0.82
Colorado,1/1/2023,0.44
Colorado,2/1/2023,0.24
Colorado,3/1/2023,0.49
Colorado,4/1/2023,0.44
Colorado,5/1/2023,0.36
Colorado,6/1/2023,0.39
Colorado,7/1/2023,0.46
Colorado,8/1/2023,0.53
Colorado,9/1/2023,0.51
Colorado,10/1/2023,0.43
Colorado,11/1/2023,0.6
Colorado,12/1/2023,0.44
Connecticut,1/1/2014,0.25
Connecticut,2/1/2014,0.08
Connecticut,3/1/2014,0.17
Connecticut,4/1/2014,0.17
Connecticut,5/1/2014,0.28
Connecticut,6/1/2014,0.19
Connecticut,7/1/2014,0.25
Connecticut,8/1/2014,0.33
Connecticut,9/1/2014,0.14
Connecticut,10/1/2014,0.17
Connecticut,11/1/2014,0.14
Connecticut,12/1/2014,0.25
Connecticut,1/1/2015,0.14
Connecticut,2/1/2015,0.06
Connecticut,3/1/2015,0.36
Connecticut,4/1/2015,0.22
Connecticut,5/1/2015,0.19
Connecticut,6/1/2015,0.28
Connecticut,7/1/2015,0.39
Connecticut,8/1/2015,0.33
Connecticut,9/1/2015,0.22
Connecticut,10/1/2015,0.17
Connecticut,11/1/2015,0.28
Connecticut,12/1/2015,0.39
Connecticut,1/1/2016,0.08
Connecticut,2/1/2016,0.14
Connecticut,3/1/2016,0.17
Connecticut,4/1/2016,0.17
Connecticut,5/1/2016,0.2
Connecticut,6/1/2016,0.17
Connecticut,7/1/2016,0.25
Connecticut,8/1/2016,0.25
Connecticut,9/1/2016,0.2
Connecticut,10/1/2016,0.06
Connecticut,11/1/2016,0.25
Connecticut,12/1/2016,0.25
Connecticut,1/1/2017,0.28
Connecticut,2/1/2017,0.22
Connecticut,3/1/2017,0.11
Connecticut,4/1/2017,0.25
Connecticut,5/1/2017,0.2
Connecticut,6/1/2017,0.14
Connecticut,7/1/2017,0.33
Connecticut,8/1/2017,0.33
Connecticut,9/1/2017,0.33
Connecticut,10/1/2017,0.28
Connecticut,11/1/2017,0.14
Connecticut,12/1/2017,0.42
Connecticut,1/1/2018,0.28
Connecticut,2/1/2018,0.22
Connecticut,3/1/2018,0.11
Connecticut,4/1/2018,0.14
Connecticut,5/1/2018,0.31
Connecticut,6/1/2018,0.25
Connecticut,7/1/2018,0.06
Connecticut,8/1/2018,0.14
Connecticut,9/1/2018,0.36
Connecticut,10/1/2018,0.2
Connecticut,11/1/2018,0.2
Connecticut,12/1/2018,0.25
Connecticut,1/1/2019,0.36
Connecticut,2/1/2019,0.22
Connecticut,3/1/2019,0.2
Connecticut,4/1/2019,0.08
Connecticut,5/1/2019,0.22
Connecticut,6/1/2019,0.22
Connecticut,7/1/2019,0.28
Connecticut,8/1/2019,0.31
Connecticut,9/1/2019,0.31
Connecticut,10/1/2019,0.2
Connecticut,11/1/2019,0.28
Connecticut,12/1/2019,0.28
Connecticut,1/1/2020,0.17
Connecticut,2/1/2020,0.2
Connecticut,3/1/2020,0.37
Connecticut,4/1/2020,0.17
Connecticut,5/1/2020,0.34
Connecticut,6/1/2020,0.48
Connecticut,7/1/2020,0.56
Connecticut,8/1/2020,0.51
Connecticut,9/1/2020,0.28
Connecticut,10/1/2020,0.51
Connecticut,11/1/2020,0.22
Connecticut,12/1/2020,0.42
Connecticut,1/1/2021,0.39
Connecticut,2/1/2021,0.08
Connecticut,3/1/2021,0.33
Connecticut,4/1/2021,0.28
Connecticut,5/1/2021,0.72
Connecticut,6/1/2021,0.55
Connecticut,7/1/2021,0.42
Connecticut,8/1/2021,0.47
Connecticut,9/1/2021,0.33
Connecticut,10/1/2021,0.28
Connecticut,11/1/2021,0.25
Connecticut,12/1/2021,0.28
Connecticut,1/1/2022,0.3
Connecticut,2/1/2022,0.19
Connecticut,3/1/2022,0.39
Connecticut,4/1/2022,0.19
Connecticut,5/1/2022,0.44
Connecticut,6/1/2022,0.25
Connecticut,7/1/2022,0.39
Connecticut,8/1/2022,0.39
Connecticut,9/1/2022,0.22
Connecticut,10/1/2022,0.47
Connecticut,11/1/2022,0.3
Connecticut,12/1/2022,0.22
Connecticut,1/1/2023,0.33
Connecticut,2/1/2023,0.17
Connecticut,3/1/2023,0.3
Connecticut,4/1/2023,0.39
Connecticut,5/1/2023,0.39
Connecticut,6/1/2023,0.25
Connecticut,7/1/2023,0.55
Connecticut,8/1/2023,0.33
Connecticut,9/1/2023,0.22
Connecticut,10/1/2023,0.33
Connecticut,11/1/2023,0.19
Connecticut,12/1/2023,0.28
District of Columbia,1/1/2014,2.12
District of Columbia,2/1/2014,1.37
District of Columbia,3/1/2014,1.21
District of Columbia,4/1/2014,0.91
District of Columbia,5/1/2014,1.37
District of Columbia,6/1/2014,1.97
District of Columbia,7/1/2014,1.82
District of Columbia,8/1/2014,0.61
District of Columbia,9/1/2014,1.21
District of Columbia,10/1/2014,1.37
District of Columbia,11/1/2014,0.76
District of Columbia,12/1/2014,1.97
District of Columbia,1/1/2015,1.19
District of Columbia,2/1/2015,1.19
District of Columbia,3/1/2015,1.49
District of Columbia,4/1/2015,1.19
District of Columbia,5/1/2015,2.38
District of Columbia,6/1/2015,2.68
District of Columbia,7/1/2015,2.38
District of Columbia,8/1/2015,3.12
District of Columbia,9/1/2015,2.08
District of Columbia,10/1/2015,2.08
District of Columbia,11/1/2015,2.53
District of Columbia,12/1/2015,1.79
District of Columbia,1/1/2016,0.88
District of Columbia,2/1/2016,1.47
District of Columbia,3/1/2016,1.61
District of Columbia,4/1/2016,1.32
District of Columbia,5/1/2016,2.35
District of Columbia,6/1/2016,1.47
District of Columbia,7/1/2016,1.76
District of Columbia,8/1/2016,2.5
District of Columbia,9/1/2016,2.06
District of Columbia,10/1/2016,1.03
District of Columbia,11/1/2016,1.91
District of Columbia,12/1/2016,1.61
District of Columbia,1/1/2017,1.15
District of Columbia,2/1/2017,0.86
District of Columbia,3/1/2017,2.02
District of Columbia,4/1/2017,1.15
District of Columbia,5/1/2017,1.01
