Date,States,Homocides
3/1/2015,Nevada,11
3/1/2015,New York,36
3/1/2015,Ohio,30
3/1/2015,Oklahoma,28
3/1/2015,Oregon,6
3/1/2015,Pennsylvania,47
3/1/2015,Rhode Island,2
3/1/2015,South Carolina,37
3/1/2015,South Dakota,0
3/1/2015,Tennessee,30
3/1/2015,Texas,97
3/1/2015,Utah,1
3/1/2015,Virginia,33
3/1/2015,Vermont,0
3/1/2015,Washington,23
3/1/2015,Wisconsin,23
3/1/2015,West Virginia,6
3/1/2015,Wyoming,0
4/1/2015,Alaska,3
4/1/2015,Alabama,0
4/1/2015,Arkansas,12
4/1/2015,Arizona,29
4/1/2015,California,137
4/1/2015,Colorado,10
4/1/2015,Connecticut,8
4/1/2015,District of Columbia,8
4/1/2015,Delaware,8
4/1/2015,Florida,0
4/1/2015,Georgia,48
4/1/2015,Hawaii,3
4/1/2015,Iowa,6
4/1/2015,Idaho,0
4/1/2015,Illinois,37
4/1/2015,Indiana,21
4/1/2015,Kansas,7
4/1/2015,Kentucky,14
4/1/2015,Louisiana,36
4/1/2015,Massachusetts,8
4/1/2015,Maryland,29
4/1/2015,Maine,0
4/1/2015,Michigan,45
4/1/2015,Minnesota,9
4/1/2015,Missouri,35
4/1/2015,Mississippi,22
4/1/2015,Montana,2
4/1/2015,Nebraska,1
4/1/2015,North Carolina,29
4/1/2015,North Dakota,0
4/1/2015,New Hampshire,1
4/1/2015,New Jersey,31
4/1/2015,New Mexico,5
4/1/2015,Nevada,15
4/1/2015,New York,45
4/1/2015,Ohio,41
4/1/2015,Oklahoma,19
4/1/2015,Oregon,1
4/1/2015,Pennsylvania,38
4/1/2015,Rhode Island,1
4/1/2015,South Carolina,36
4/1/2015,South Dakota,2
4/1/2015,Tennessee,28
4/1/2015,Texas,105
4/1/2015,Utah,5
4/1/2015,Virginia,35
4/1/2015,Vermont,1
4/1/2015,Washington,8
4/1/2015,Wisconsin,23
4/1/2015,West Virginia,5
4/1/2015,Wyoming,4
5/1/2015,Alaska,11
5/1/2015,Alabama,0
5/1/2015,Arkansas,19
5/1/2015,Arizona,31
5/1/2015,California,148
5/1/2015,Colorado,9
5/1/2015,Connecticut,7
5/1/2015,District of Columbia,16
5/1/2015,Delaware,4
5/1/2015,Florida,0
5/1/2015,Georgia,40
5/1/2015,Hawaii,3
5/1/2015,Iowa,4
5/1/2015,Idaho,2
5/1/2015,Illinois,49
5/1/2015,Indiana,18
5/1/2015,Kansas,9
5/1/2015,Kentucky,13
5/1/2015,Louisiana,41
5/1/2015,Massachusetts,13
5/1/2015,Maryland,38
5/1/2015,Maine,3
5/1/2015,Michigan,60
5/1/2015,Minnesota,13
5/1/2015,Missouri,38
5/1/2015,Mississippi,22
5/1/2015,Montana,5
5/1/2015,Nebraska,7
5/1/2015,North Carolina,36
5/1/2015,North Dakota,3
5/1/2015,New Hampshire,6
5/1/2015,New Jersey,21
5/1/2015,New Mexico,14
5/1/2015,Nevada,22
5/1/2015,New York,56
5/1/2015,Ohio,48
5/1/2015,Oklahoma,21
5/1/2015,Oregon,4
5/1/2015,Pennsylvania,64
5/1/2015,Rhode Island,8
5/1/2015,South Carolina,35
5/1/2015,South Dakota,3
5/1/2015,Tennessee,29
5/1/2015,Texas,139
5/1/2015,Utah,4
5/1/2015,Virginia,36
5/1/2015,Vermont,1
5/1/2015,Washington,17
5/1/2015,Wisconsin,25
5/1/2015,West Virginia,3
5/1/2015,Wyoming,0
6/1/2015,Alaska,1
6/1/2015,Alabama,0
6/1/2015,Arkansas,17
6/1/2015,Arizona,13
6/1/2015,California,180
6/1/2015,Colorado,12
6/1/2015,Connecticut,10
6/1/2015,District of Columbia,18
6/1/2015,Delaware,3
6/1/2015,Florida,0
6/1/2015,Georgia,47
6/1/2015,Hawaii,2
6/1/2015,Iowa,10
6/1/2015,Idaho,4
6/1/2015,Illinois,49
6/1/2015,Indiana,25
6/1/2015,Kansas,11
6/1/2015,Kentucky,19
6/1/2015,Louisiana,43
6/1/2015,Massachusetts,10
6/1/2015,Maryland,40
6/1/2015,Maine,1
6/1/2015,Michigan,50
6/1/2015,Minnesota,14
6/1/2015,Missouri,49
6/1/2015,Mississippi,9
6/1/2015,Montana,4
6/1/2015,Nebraska,7
6/1/2015,North Carolina,53
6/1/2015,North Dakota,4
6/1/2015,New Hampshire,0
6/1/2015,New Jersey,39
6/1/2015,New Mexico,9
6/1/2015,Nevada,10
6/1/2015,New York,54
6/1/2015,Ohio,43
6/1/2015,Oklahoma,19
6/1/2015,Oregon,13
6/1/2015,Pennsylvania,44
6/1/2015,Rhode Island,0
6/1/2015,South Carolina,36
6/1/2015,South Dakota,2
6/1/2015,Tennessee,26
6/1/2015,Texas,109
6/1/2015,Utah,7
6/1/2015,Virginia,21
6/1/2015,Vermont,1
6/1/2015,Washington,17
6/1/2015,Wisconsin,21
6/1/2015,West Virginia,5
6/1/2015,Wyoming,2
7/1/2015,Alaska,3
7/1/2015,Alabama,0
7/1/2015,Arkansas,25
7/1/2015,Arizona,27
7/1/2015,California,169
7/1/2015,Colorado,22
7/1/2015,Connecticut,14
7/1/2015,District of Columbia,16
7/1/2015,Delaware,5
7/1/2015,Florida,0
7/1/2015,Georgia,54
7/1/2015,Hawaii,1
7/1/2015,Iowa,1
7/1/2015,Idaho,2
7/1/2015,Illinois,57
7/1/2015,Indiana,24
7/1/2015,Kansas,13
7/1/2015,Kentucky,22
7/1/2015,Louisiana,51
7/1/2015,Massachusetts,13
7/1/2015,Maryland,47
7/1/2015,Maine,4
7/1/2015,Michigan,32
7/1/2015,Minnesota,11
7/1/2015,Missouri,48
7/1/2015,Mississippi,14
7/1/2015,Montana,6
7/1/2015,Nebraska,4
7/1/2015,North Carolina,36
7/1/2015,North Dakota,0
7/1/2015,New Hampshire,1
7/1/2015,New Jersey,41
7/1/2015,New Mexico,8
7/1/2015,Nevada,9
7/1/2015,New York,57
7/1/2015,Ohio,52
7/1/2015,Oklahoma,30
7/1/2015,Oregon,12
7/1/2015,Pennsylvania,67
7/1/2015,Rhode Island,2
7/1/2015,South Carolina,41
7/1/2015,South Dakota,0
7/1/2015,Tennessee,32
7/1/2015,Texas,102
7/1/2015,Utah,6
7/1/2015,Virginia,21
7/1/2015,Vermont,1
7/1/2015,Washington,30
7/1/2015,Wisconsin,27
7/1/2015,West Virginia,4
7/1/2015,Wyoming,3
8/1/2015,Alaska,3
8/1/2015,Alabama,0
8/1/2015,Arkansas,14
8/1/2015,Arizona,29
8/1/2015,California,164
8/1/2015,Colorado,11
8/1/2015,Connecticut,12
8/1/2015,District of Columbia,21
8/1/2015,Delaware,4
8/1/2015,Florida,0
8/1/2015,Georgia,48
8/1/2015,Hawaii,3
8/1/2015,Iowa,7
8/1/2015,Idaho,4
8/1/2015,Illinois,56
8/1/2015,Indiana,35
8/1/2015,Kansas,11
8/1/2015,Kentucky,14
8/1/2015,Louisiana,36
8/1/2015,Massachusetts,12
8/1/2015,Maryland,49
8/1/2015,Maine,2
8/1/2015,Michigan,72
8/1/2015,Minnesota,11
8/1/2015,Missouri,47
8/1/2015,Mississippi,15
8/1/2015,Montana,0
8/1/2015,Nebraska,6
8/1/2015,North Carolina,43
8/1/2015,North Dakota,0
8/1/2015,New Hampshire,2
8/1/2015,New Jersey,35
8/1/2015,New Mexico,5
8/1/2015,Nevada,22
8/1/2015,New York,57
8/1/2015,Ohio,53
8/1/2015,Oklahoma,15
8/1/2015,Oregon,4
8/1/2015,Pennsylvania,59
8/1/2015,Rhode Island,6
8/1/2015,South Carolina,49
8/1/2015,South Dakota,1
8/1/2015,Tennessee,44
8/1/2015,Texas,106
8/1/2015,Utah,8
8/1/2015,Virginia,38
8/1/2015,Vermont,6
8/1/2015,Washington,20
8/1/2015,Wisconsin,13
8/1/2015,West Virginia,6
8/1/2015,Wyoming,1
9/1/2015,Alaska,3
9/1/2015,Alabama,1
9/1/2015,Arkansas,14
9/1/2015,Arizona,21
9/1/2015,California,174
9/1/2015,Colorado,19
9/1/2015,Connecticut,8
9/1/2015,District of Columbia,14
9/1/2015,Delaware,4
9/1/2015,Florida,0
9/1/2015,Georgia,57
9/1/2015,Hawaii,2
9/1/2015,Iowa,12
9/1/2015,Idaho,3
9/1/2015,Illinois,58
9/1/2015,Indiana,26
9/1/2015,Kansas,9
9/1/2015,Kentucky,11
9/1/2015,Louisiana,32
9/1/2015,Massachusetts,8
9/1/2015,Maryland,38
9/1/2015,Maine,2
9/1/2015,Michigan,50
9/1/2015,Minnesota,16
9/1/2015,Missouri,48
9/1/2015,Mississippi,21
9/1/2015,Montana,3
9/1/2015,Nebraska,4
9/1/2015,North Carolina,46
9/1/2015,North Dakota,2
9/1/2015,New Hampshire,1
9/1/2015,New Jersey,37
9/1/2015,New Mexico,7
9/1/2015,Nevada,18
9/1/2015,New York,61
9/1/2015,Ohio,38
9/1/2015,Oklahoma,19
9/1/2015,Oregon,6
9/1/2015,Pennsylvania,70
9/1/2015,Rhode Island,5
9/1/2015,South Carolina,25
9/1/2015,South Dakota,9
9/1/2015,Tennessee,46
9/1/2015,Texas,97
9/1/2015,Utah,6
9/1/2015,Virginia,50
9/1/2015,Vermont,0
9/1/2015,Washington,18
9/1/2015,Wisconsin,20
9/1/2015,West Virginia,7
9/1/2015,Wyoming,1
10/1/2015,Alaska,3
10/1/2015,Alabama,0
10/1/2015,Arkansas,13
10/1/2015,Arizona,25
10/1/2015,California,169
10/1/2015,Colorado,16
10/1/2015,Connecticut,6
10/1/2015,District of Columbia,14
10/1/2015,Delaware,6
10/1/2015,Florida,0
10/1/2015,Georgia,48
10/1/2015,Hawaii,1
10/1/2015,Iowa,4
10/1/2015,Idaho,1
10/1/2015,Illinois,29
10/1/2015,Indiana,26
10/1/2015,Kansas,13
10/1/2015,Kentucky,23
10/1/2015,Louisiana,43
10/1/2015,Massachusetts,4
10/1/2015,Maryland,52
10/1/2015,Maine,1
10/1/2015,Michigan,39
10/1/2015,Minnesota,19
10/1/2015,Missouri,49
10/1/2015,Mississippi,10
10/1/2015,Montana,4
10/1/2015,Nebraska,5
10/1/2015,North Carolina,60
10/1/2015,North Dakota,2
10/1/2015,New Hampshire,0
10/1/2015,New Jersey,31
10/1/2015,New Mexico,10
10/1/2015,Nevada,13
10/1/2015,New York,58
10/1/2015,Ohio,44
10/1/2015,Oklahoma,22
10/1/2015,Oregon,8
10/1/2015,Pennsylvania,57
10/1/2015,Rhode Island,2
10/1/2015,South Carolina,31
10/1/2015,South Dakota,2
10/1/2015,Tennessee,42
10/1/2015,Texas,96
10/1/2015,Utah,3
10/1/2015,Virginia,28
10/1/2015,Vermont,0
10/1/2015,Washington,12
10/1/2015,Wisconsin,23
10/1/2015,West Virginia,6
10/1/2015,Wyoming,1
11/1/2015,Alaska,5
11/1/2015,Alabama,1
11/1/2015,Arkansas,16
11/1/2015,Arizona,22
11/1/2015,California,151
11/1/2015,Colorado,19
11/1/2015,Connecticut,10
11/1/2015,District of Columbia,17
11/1/2015,Delaware,3
11/1/2015,Florida,0
11/1/2015,Georgia,53
11/1/2015,Hawaii,4
11/1/2015,Iowa,10
11/1/2015,Idaho,2
11/1/2015,Illinois,38
11/1/2015,Indiana,31
11/1/2015,Kansas,15
11/1/2015,Kentucky,27
11/1/2015,Louisiana,44
11/1/2015,Massachusetts,11
11/1/2015,Maryland,41
11/1/2015,Maine,5
11/1/2015,Michigan,35
11/1/2015,Minnesota,13
11/1/2015,Missouri,38
11/1/2015,Mississippi,12
11/1/2015,Montana,3
11/1/2015,Nebraska,6
11/1/2015,North Carolina,30
11/1/2015,North Dakota,3
11/1/2015,New Hampshire,1
11/1/2015,New Jersey,28
11/1/2015,New Mexico,3
11/1/2015,Nevada,14
11/1/2015,New York,46
11/1/2015,Ohio,47
11/1/2015,Oklahoma,20
11/1/2015,Oregon,7
11/1/2015,Pennsylvania,62
11/1/2015,Rhode Island,2
11/1/2015,South Carolina,33
11/1/2015,South Dakota,3
11/1/2015,Tennessee,35
11/1/2015,Texas,113
11/1/2015,Utah,3
11/1/2015,Virginia,36
11/1/2015,Vermont,0
11/1/2015,Washington,12
11/1/2015,Wisconsin,17
11/1/2015,West Virginia,5
11/1/2015,Wyoming,4
12/1/2015,Alaska,7
12/1/2015,Alabama,0
12/1/2015,Arkansas,10
12/1/2015,Arizona,21
12/1/2015,California,176
12/1/2015,Colorado,19
12/1/2015,Connecticut,14
12/1/2015,District of Columbia,12
12/1/2015,Delaware,6
12/1/2015,Florida,0
12/1/2015,Georgia,45
12/1/2015,Hawaii,1
12/1/2015,Iowa,7
12/1/2015,Idaho,1
12/1/2015,Illinois,35
12/1/2015,Indiana,18
12/1/2015,Kansas,10
12/1/2015,Kentucky,19
12/1/2015,Louisiana,53
12/1/2015,Massachusetts,13
12/1/2015,Maryland,56
12/1/2015,Maine,2
12/1/2015,Michigan,59
12/1/2015,Minnesota,7
12/1/2015,Missouri,36
12/1/2015,Mississippi,8
12/1/2015,Montana,3
12/1/2015,Nebraska,9
12/1/2015,North Carolina,46
12/1/2015,North Dakota,0
12/1/2015,New Hampshire,0
12/1/2015,New Jersey,23
12/1/2015,New Mexico,5
12/1/2015,Nevada,22
12/1/2015,New York,49
12/1/2015,Ohio,41
12/1/2015,Oklahoma,23
12/1/2015,Oregon,11
12/1/2015,Pennsylvania,60
12/1/2015,Rhode Island,1
12/1/2015,South Carolina,31
12/1/2015,South Dakota,1
12/1/2015,Tennessee,46
12/1/2015,Texas,121
12/1/2015,Utah,3
12/1/2015,Virginia,42
12/1/2015,Vermont,1
12/1/2015,Washington,24
12/1/2015,Wisconsin,12
12/1/2015,West Virginia,7
12/1/2015,Wyoming,1
1/1/2016,Alaska,8
1/1/2016,Alabama,1
1/1/2016,Arkansas,22
1/1/2016,Arizona,30
1/1/2016,California,155
1/1/2016,Colorado,7
1/1/2016,Connecticut,3
1/1/2016,District of Columbia,6
1/1/2016,Delaware,6
1/1/2016,Florida,0
1/1/2016,Georgia,49
1/1/2016,Hawaii,5
1/1/2016,Iowa,2
1/1/2016,Idaho,2
1/1/2016,Illinois,71
1/1/2016,Indiana,20
1/1/2016,Kansas,5
1/1/2016,Kentucky,16
1/1/2016,Louisiana,33
1/1/2016,Massachusetts,16
1/1/2016,Maryland,30
1/1/2016,Maine,2
1/1/2016,Michigan,41
1/1/2016,Minnesota,5
1/1/2016,Missouri,46
1/1/2016,Mississippi,12
1/1/2016,Montana,2
1/1/2016,Nebraska,3
1/1/2016,North Carolina,47
1/1/2016,North Dakota,0
1/1/2016,New Hampshire,1
1/1/2016,New Jersey,27
1/1/2016,New Mexico,6
1/1/2016,Nevada,18
1/1/2016,New York,47
1/1/2016,Ohio,56
1/1/2016,Oklahoma,13
1/1/2016,Oregon,4
1/1/2016,Pennsylvania,53
1/1/2016,Rhode Island,1
1/1/2016,South Carolina,25
1/1/2016,South Dakota,2
1/1/2016,Tennessee,40
1/1/2016,Texas,103
1/1/2016,Utah,3
1/1/2016,Virginia,45
1/1/2016,Vermont,0
1/1/2016,Washington,17
1/1/2016,Wisconsin,12
1/1/2016,West Virginia,6
1/1/2016,Wyoming,4
2/1/2016,Alaska,4
2/1/2016,Alabama,0
2/1/2016,Arkansas,13
2/1/2016,Arizona,25
2/1/2016,California,125
2/1/2016,Colorado,9
2/1/2016,Connecticut,5
2/1/2016,District of Columbia,10
2/1/2016,Delaware,6
2/1/2016,Florida,0
2/1/2016,Georgia,45
2/1/2016,Hawaii,0
2/1/2016,Iowa,2
2/1/2016,Idaho,7
2/1/2016,Illinois,56
2/1/2016,Indiana,19
2/1/2016,Kansas,6
2/1/2016,Kentucky,14
2/1/2016,Louisiana,21
2/1/2016,Massachusetts,6
2/1/2016,Maryland,37
2/1/2016,Maine,0
2/1/2016,Michigan,48
2/1/2016,Minnesota,2
2/1/2016,Missouri,19
2/1/2016,Mississippi,10
2/1/2016,Montana,9
2/1/2016,Nebraska,3
2/1/2016,North Carolina,42
2/1/2016,North Dakota,2
2/1/2016,New Hampshire,0
2/1/2016,New Jersey,25
2/1/2016,New Mexico,7
2/1/2016,Nevada,22
2/1/2016,New York,39
2/1/2016,Ohio,38
2/1/2016,Oklahoma,15
2/1/2016,Oregon,14
2/1/2016,Pennsylvania,31
2/1/2016,Rhode Island,1
2/1/2016,South Carolina,18
2/1/2016,South Dakota,1
2/1/2016,Tennessee,42
2/1/2016,Texas,100
2/1/2016,Utah,9
2/1/2016,Virginia,31
2/1/2016,Vermont,2
2/1/2016,Washington,18
2/1/2016,Wisconsin,10
2/1/2016,West Virginia,2
2/1/2016,Wyoming,0
3/1/2016,Alaska,1
3/1/2016,Alabama,1
3/1/2016,Arkansas,10
3/1/2016,Arizona,26
3/1/2016,California,133
3/1/2016,Colorado,9
3/1/2016,Connecticut,6
3/1/2016,District of Columbia,11
3/1/2016,Delaware,8
3/1/2016,Florida,0
3/1/2016,Georgia,48
3/1/2016,Hawaii,4
3/1/2016,Iowa,8
3/1/2016,Idaho,1
3/1/2016,Illinois,62
3/1/2016,Indiana,34
3/1/2016,Kansas,11
3/1/2016,Kentucky,19
3/1/2016,Louisiana,38
3/1/2016,Massachusetts,14
3/1/2016,Maryland,27
3/1/2016,Maine,2
3/1/2016,Michigan,37
3/1/2016,Minnesota,4
3/1/2016,Missouri,33
3/1/2016,Mississippi,13
3/1/2016,Montana,7
3/1/2016,Nebraska,1
3/1/2016,North Carolina,61
3/1/2016,North Dakota,2
3/1/2016,New Hampshire,2
3/1/2016,New Jersey,21
3/1/2016,New Mexico,9
3/1/2016,Nevada,13
3/1/2016,New York,52
3/1/2016,Ohio,42
3/1/2016,Oklahoma,18
3/1/2016,Oregon,3
3/1/2016,Pennsylvania,54
3/1/2016,Rhode Island,4
3/1/2016,South Carolina,33
3/1/2016,South Dakota,0
3/1/2016,Tennessee,37
3/1/2016,Texas,133
3/1/2016,Utah,1
3/1/2016,Virginia,37
3/1/2016,Vermont,0
3/1/2016,Washington,12
3/1/2016,Wisconsin,21
3/1/2016,West Virginia,6
3/1/2016,Wyoming,1
4/1/2016,Alaska,0
4/1/2016,Alabama,0
4/1/2016,Arkansas,10
4/1/2016,Arizona,25
4/1/2016,California,159
4/1/2016,Colorado,17
4/1/2016,Connecticut,6
4/1/2016,District of Columbia,9
4/1/2016,Delaware,5
4/1/2016,Florida,0
4/1/2016,Georgia,51
4/1/2016,Hawaii,4
4/1/2016,Iowa,6
4/1/2016,Idaho,1
4/1/2016,Illinois,59
4/1/2016,Indiana,30
4/1/2016,Kansas,3
4/1/2016,Kentucky,29
4/1/2016,Louisiana,42
4/1/2016,Massachusetts,6
4/1/2016,Maryland,48
4/1/2016,Maine,1
4/1/2016,Michigan,56
4/1/2016,Minnesota,9
4/1/2016,Missouri,40
4/1/2016,Mississippi,15
4/1/2016,Montana,4
4/1/2016,Nebraska,8
4/1/2016,North Carolina,56
4/1/2016,North Dakota,2
4/1/2016,New Hampshire,0
4/1/2016,New Jersey,31
4/1/2016,New Mexico,8
4/1/2016,Nevada,27
4/1/2016,New York,43
4/1/2016,Ohio,51
4/1/2016,Oklahoma,15
4/1/2016,Oregon,4
4/1/2016,Pennsylvania,57
4/1/2016,Rhode Island,0
4/1/2016,South Carolina,28
4/1/2016,South Dakota,4
4/1/2016,Tennessee,35
4/1/2016,Texas,104
4/1/2016,Utah,6
4/1/2016,Virginia,38
4/1/2016,Vermont,0
4/1/2016,Washington,19
4/1/2016,Wisconsin,23
4/1/2016,West Virginia,2
4/1/2016,Wyoming,0
5/1/2016,Alaska,5
